Fecha,Amper fase T-A,Amper fase S-A,Amper fase R-A,Vab,Vca,Vbc,Kwatts 3 fases,Factor de Poten-A
2020-03-01 00:00:00,0.0,0.0,0.0,,,,3484.0,0.94
2020-03-01 00:05:00,0.0,0.0,0.0,,,,3449.0,0.94
2020-03-01 00:10:00,0.0,0.0,0.0,,,,3410.0,0.94
2020-03-01 00:15:00,0.0,0.0,0.0,,,,3437.0,0.94
2020-03-01 00:20:00,0.0,0.0,0.0,,,,3448.0,0.94
2020-03-01 00:25:00,0.0,0.0,0.0,,,,3397.0,0.94
2020-03-01 00:30:00,0.0,0.0,0.0,,,,3292.0,0.94
2020-03-01 00:35:00,0.0,0.0,0.0,,,,3314.0,0.95
2020-03-01 00:40:00,0.0,0.0,0.0,,,,3235.0,0.95
2020-03-01 00:45:00,0.0,0.0,0.0,,,,3230.0,0.95
2020-03-01 00:50:00,0.0,0.0,0.0,,,,3210.0,0.95
2020-03-01 00:55:00,0.0,0.0,0.0,,,,3236.0,0.95
2020-03-01 01:00:00,0.0,0.0,0.0,,,,3212.0,0.95
2020-03-01 01:05:00,0.0,0.0,0.0,,,,3187.0,0.95
2020-03-01 01:10:00,0.0,0.0,0.0,,,,3176.0,0.95
2020-03-01 01:15:00,0.0,0.0,0.0,,,,3132.0,0.95
2020-03-01 01:20:00,0.0,0.0,0.0,,,,3147.0,0.95
2020-03-01 01:25:00,0.0,0.0,0.0,,,,3153.0,0.95
2020-03-01 01:30:00,0.0,0.0,0.0,,,,3104.0,0.95
2020-03-01 01:35:00,0.0,0.0,0.0,,,,3116.0,0.95
2020-03-01 01:40:00,0.0,0.0,0.0,,,,3117.0,0.95
2020-03-01 01:45:00,0.0,0.0,0.0,,,,3083.0,0.95
2020-03-01 01:50:00,0.0,0.0,0.0,,,,3058.0,0.95
2020-03-01 01:55:00,0.0,0.0,0.0,,,,3054.0,0.95
2020-03-01 02:00:00,0.0,0.0,0.0,,,,3072.0,0.95
2020-03-01 02:05:00,0.0,0.0,0.0,,,,3029.0,0.95
2020-03-01 02:10:00,0.0,0.0,0.0,,,,3025.0,0.95
2020-03-01 02:15:00,0.0,0.0,0.0,,,,3019.0,0.95
2020-03-01 02:20:00,0.0,0.0,0.0,,,,3040.0,0.95
2020-03-01 02:25:00,0.0,0.0,0.0,,,,3021.0,0.95
2020-03-01 02:30:00,0.0,0.0,0.0,,,,3008.0,0.95
2020-03-01 02:35:00,0.0,0.0,0.0,,,,3003.0,0.95
2020-03-01 02:40:00,0.0,0.0,0.0,,,,2999.0,0.95
2020-03-01 02:45:00,0.0,0.0,0.0,,,,2977.0,0.95
2020-03-01 02:50:00,0.0,0.0,0.0,,,,2991.0,0.95
2020-03-01 02:55:00,0.0,0.0,0.0,,,,2952.0,0.95
2020-03-01 03:00:00,0.0,0.0,0.0,,,,2964.0,0.95
2020-03-01 03:05:00,0.0,0.0,0.0,,,,2945.0,0.95
2020-03-01 03:10:00,0.0,0.0,0.0,,,,3008.0,0.95
2020-03-01 03:15:00,0.0,0.0,0.0,,,,2934.0,0.95
2020-03-01 03:20:00,0.0,0.0,0.0,,,,2892.0,0.95
2020-03-01 03:25:00,0.0,0.0,0.0,,,,2894.0,0.95
2020-03-01 03:30:00,0.0,0.0,0.0,,,,2864.0,0.95
2020-03-01 03:35:00,0.0,0.0,0.0,,,,2883.0,0.95
2020-03-01 03:40:00,0.0,0.0,0.0,,,,2876.0,0.95
2020-03-01 03:45:00,0.0,0.0,0.0,,,,2882.0,0.95
2020-03-01 03:50:00,0.0,0.0,0.0,,,,2851.0,0.95
2020-03-01 03:55:00,0.0,0.0,0.0,,,,2810.0,0.95
2020-03-01 04:00:00,0.0,0.0,0.0,,,,2827.0,0.96
2020-03-01 04:05:00,0.0,0.0,0.0,,,,2820.0,0.96
2020-03-01 04:10:00,0.0,0.0,0.0,,,,2825.0,0.96
2020-03-01 04:15:00,0.0,0.0,0.0,,,,2798.0,0.96
2020-03-01 04:20:00,0.0,0.0,0.0,,,,2771.0,0.96
2020-03-01 04:25:00,0.0,0.0,0.0,,,,2756.0,0.96
2020-03-01 04:30:00,0.0,0.0,0.0,,,,2764.0,0.96
2020-03-01 04:35:00,0.0,0.0,0.0,,,,2781.0,0.96
2020-03-01 04:40:00,0.0,0.0,0.0,,,,2780.0,0.96
2020-03-01 04:45:00,0.0,0.0,0.0,,,,2793.0,0.96
2020-03-01 04:50:00,0.0,0.0,0.0,,,,2773.0,0.96
2020-03-01 04:55:00,0.0,0.0,0.0,,,,2755.0,0.96
2020-03-01 05:00:00,0.0,0.0,0.0,,,,2740.0,0.97
2020-03-01 05:05:00,0.0,0.0,0.0,,,,2712.0,0.96
2020-03-01 05:10:00,0.0,0.0,0.0,,,,2742.0,0.97
2020-03-01 05:15:00,0.0,0.0,0.0,,,,2719.0,0.97
2020-03-01 05:20:00,0.0,0.0,0.0,,,,2740.0,0.97
2020-03-01 05:25:00,0.0,0.0,0.0,,,,2714.0,0.97
2020-03-01 05:30:00,0.0,0.0,0.0,,,,2750.0,0.97
2020-03-01 05:35:00,0.0,0.0,0.0,,,,2667.0,0.97
2020-03-01 05:40:00,0.0,0.0,0.0,,,,2661.0,0.97
2020-03-01 05:45:00,0.0,0.0,0.0,,,,2655.0,0.97
2020-03-01 05:50:00,0.0,0.0,0.0,,,,2637.0,0.97
2020-03-01 05:55:00,0.0,0.0,0.0,,,,2639.0,0.97
2020-03-01 06:00:00,0.0,0.0,0.0,,,,2560.0,0.97
2020-03-01 06:05:00,0.0,0.0,0.0,,,,2612.0,0.97
2020-03-01 06:10:00,0.0,0.0,0.0,,,,2581.0,0.98
2020-03-01 06:15:00,0.0,0.0,0.0,,,,2598.0,0.98
2020-03-01 06:20:00,0.0,0.0,0.0,,,,2586.0,0.98
2020-03-01 06:25:00,0.0,0.0,0.0,,,,2497.0,0.98
2020-03-01 06:30:00,0.0,0.0,0.0,,,,2386.0,0.98
2020-03-01 06:35:00,0.0,0.0,0.0,,,,2379.0,0.98
2020-03-01 06:40:00,0.0,0.0,0.0,,,,2314.0,0.98
2020-03-01 06:45:00,0.0,0.0,0.0,,,,2282.0,0.98
2020-03-01 06:50:00,0.0,0.0,0.0,,,,2305.0,0.98
2020-03-01 06:55:00,0.0,0.0,0.0,,,,2341.0,0.98
2020-03-01 07:00:00,0.0,0.0,0.0,,,,2336.0,0.97
2020-03-01 07:05:00,0.0,0.0,0.0,,,,2322.0,0.98
2020-03-01 07:10:00,4.0,4.0,4.0,,,,2312.0,0.98
2020-03-01 07:15:00,10.0,10.0,10.0,,,,2391.0,0.98
2020-03-01 07:20:00,15.0,16.0,16.0,,,,2376.0,0.98
2020-03-01 07:25:00,17.0,17.0,17.0,,,,2356.0,0.98
2020-03-01 07:30:00,17.0,18.0,18.0,,,,2377.0,0.97
2020-03-01 07:35:00,17.0,18.0,17.0,,,,2427.0,0.97
2020-03-01 07:40:00,17.0,17.0,17.0,,,,,
2020-03-01 07:45:00,16.0,17.0,16.0,,,,,
2020-03-01 07:50:00,16.0,17.0,17.0,,,,,
2020-03-01 07:55:00,16.0,17.0,17.0,,,,,
2020-03-01 08:00:00,17.0,17.0,18.0,,,,,
2020-03-01 08:05:00,17.0,18.0,17.0,,,,,
2020-03-01 08:10:00,18.0,18.0,18.0,,,,,
2020-03-01 08:15:00,18.0,19.0,19.0,,,,,
2020-03-01 08:20:00,19.0,20.0,19.0,,,,,
2020-03-01 08:25:00,19.0,20.0,19.0,,,,,
2020-03-01 08:30:00,19.0,20.0,20.0,,,,,
2020-03-01 08:35:00,19.0,20.0,20.0,,,,,
2020-03-01 08:40:00,19.0,19.0,20.0,,,,,
2020-03-01 08:45:00,19.0,20.0,20.0,,,,,
2020-03-01 08:50:00,19.0,19.0,19.0,,,,,
2020-03-01 08:55:00,19.0,19.0,19.0,,,,,
2020-03-01 09:00:00,19.0,20.0,20.0,,,,,
2020-03-01 09:05:00,19.0,20.0,20.0,,,,,
2020-03-01 09:10:00,20.0,21.0,21.0,,,,,
2020-03-01 09:15:00,19.0,20.0,20.0,,,,,
2020-03-01 09:20:00,20.0,20.0,20.0,,,,,
2020-03-01 09:25:00,20.0,20.0,20.0,,,,,
2020-03-01 09:30:00,20.0,21.0,21.0,,,,,
2020-03-01 09:35:00,20.0,20.0,21.0,,,,,
2020-03-01 09:40:00,20.0,20.0,20.0,,,,,
2020-03-01 09:45:00,20.0,20.0,20.0,,,,,
2020-03-01 09:50:00,20.0,20.0,20.0,,,,,
2020-03-01 09:55:00,20.0,21.0,21.0,,,,,
2020-03-01 10:00:00,21.0,21.0,21.0,,,,,
2020-03-01 10:05:00,21.0,21.0,21.0,,,,,
2020-03-01 10:10:00,21.0,21.0,21.0,,,,,
2020-03-01 10:15:00,21.0,21.0,22.0,,,,,
2020-03-01 10:20:00,21.0,22.0,22.0,,,,,
