Fecha,Vca,Vbc,Vab,Factor de Poten-A,Amper fase T-A,Amper fase S-A,Amper fase R-A,Kwatts 3 fases
2020-05-01 00:00:00,37.44,36.39,35.22,0.96,40,43,46,2640
2020-05-01 00:05:00,37.49,36.43,35.27,0.96,39,43,45,2661
2020-05-01 00:10:00,37.55,36.48,35.31,0.96,39,43,46,2646
2020-05-01 00:15:00,37.54,36.47,35.33,0.96,39,43,45,2660
2020-05-01 00:20:00,37.58,36.51,35.36,0.96,39,43,46,2667
2020-05-01 00:25:00,37.56,36.51,35.35,0.96,40,43,46,2655
2020-05-01 00:30:00,37.61,36.55,35.4,0.96,40,43,45,2625
2020-05-01 00:35:00,37.66,36.6,35.47,0.96,39,42,44,2583
2020-05-01 00:40:00,37.67,36.61,35.45,0.96,38,42,44,2585
2020-05-01 00:45:00,37.7,36.63,35.51,0.96,38,42,44,2582
2020-05-01 00:50:00,37.72,36.65,35.5,0.96,38,41,44,2543
2020-05-01 00:55:00,37.28,36.21,35.1,0.96,38,41,44,2510
2020-05-01 01:00:00,36.85,35.79,34.69,0.96,37,40,43,2489
2020-05-01 01:05:00,36.89,35.82,34.71,0.97,38,41,43,2481
2020-05-01 01:10:00,36.87,35.82,34.71,0.96,38,41,43,2503
2020-05-01 01:15:00,36.86,35.8,34.7,0.96,38,41,43,2498
2020-05-01 01:20:00,36.87,35.82,34.73,0.96,37,40,42,2427
2020-05-01 01:25:00,36.91,35.86,34.74,0.97,36,39,42,2418
2020-05-01 01:30:00,36.94,35.89,34.78,0.97,35,39,42,2396
2020-05-01 01:35:00,36.94,35.89,34.73,0.97,36,39,41,2366
2020-05-01 01:40:00,37.04,35.97,34.87,0.97,36,39,41,2378
2020-05-01 01:45:00,37.08,36.02,34.93,0.96,35,39,41,2383
2020-05-01 01:50:00,37.09,36.02,34.91,0.96,35,39,41,2380
2020-05-01 01:55:00,37.07,36,34.89,0.96,35,39,41,2393
